statenum,casenum,vnumber,pnumber,city,heavytruck,body,cargo,gvwrating,mcinnnum,regstate,vconfig,vin,make,model,modelyr,feet,contribcirc
36,72,1,1,4170,0,14,0,0,0,36,0,5J6RM4H77DL0,37,402,2013,5,0
36,73,1,1,616,0,6,0,0,0,36,0,4S4BRBCC3C32,48,45,2012,5,0
36,73,1,2,616,0,6,0,0,0,36,0,4S4BRBCC3C32,48,45,2012,5,0
36,74,1,1,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,1,2,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,1,3,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,1,4,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,1,5,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,1,6,420,0,31,0,0,0,36,0,1FTWW33PX3EC,12,481,2003,5,0
36,74,2,1,420,0,4,0,0,0,36,0,1G1NE52J73M7,20,37,2003,5,0
36,74,3,1,420,0,14,0,0,0,36,0,1J4FF48SX1L6,2,404,2001,5,0
36,74,3,2,420,0,14,0,0,0,36,0,1J4FF48SX1L6,2,404,2001,5,0
36,74,3,3,420,0,14,0,0,0,36,0,1J4FF48SX1L6,2,404,2001,5,0
36,75,2,1,1003,1,3,0,0,0,36,0,2C1MR2265X67,20,34,1999,6,0
36,76,1,1,3700,0,31,0,0,0,36,0,1D7HU16D83J6,7,482,2003,6,0
36,76,2,1,3700,0,15,0,0,0,36,0,1GNEK13R8VJ4,20,421,1997,5,0
36,77,1,1,1379,0,4,0,0,0,36,0,JHMCD5565SC0,37,32,1995,5,0
36,77,2,1,1379,0,14,0,0,0,36,0,4JGBB8GB4AA5,42,401,2010,5,0
36,78,1,1,4170,0,4,0,0,0,36,0,JNKBV61F37M8,58,37,2007,5,0
36,78,1,2,4170,0,4,0,0,0,36,0,JNKBV61F37M8,58,37,2007,5,0
36,79,1,1,6250,0,6,0,0,0,36,0,WA1YD64B12N1,32,47,2002,5,0
36,80,1,1,4170,0,14,0,0,0,36,0,1FMCU0J92EUC,12,402,2014,5,0
36,80,1,2,4170,0,14,0,0,0,36,0,1FMCU0J92EUC,12,402,2014,5,0
36,80,1,3,4170,0,14,0,0,0,36,0,1FMCU0J92EUC,12,402,2014,5,0
36,83,1,1,2920,0,14,0,0,0,36,0,1J8GR48K29C5,2,404,2009,5,0
36,84,1,1,2920,0,14,0,0,0,36,0,2T3ZF4DV8AW0,49,402,2010,5,0
36,85,1,1,705,0,4,0,0,0,36,0,1N4AL21E28N4,35,47,2008,6,0
36,86,1,1,6010,0,4,0,0,0,36,0,1G11D5SL7FF1,20,37,2015,6,0
36,87,1,1,1648,0,4,0,0,0,36,0,KMHDN45D02U4,55,35,2002,5,0
36,88,1,1,2600,0,4,0,0,0,36,0,2HGFA1F61BH5,37,31,2011,5,0
36,90,1,1,801,0,31,0,0,0,36,0,1FTSW21R38ED,12,481,2008,5,0
36,90,1,2,801,0,31,0,0,0,36,0,1FTSW21R38ED,12,481,2008,5,0
36,91,1,1,5315,0,4,0,0,0,36,0,1G3GR64HX141,21,22,2001,5,0
36,91,2,1,5315,0,15,0,0,0,36,0,1GKEK13T35J2,23,421,2005,5,0
36,91,2,2,5315,0,15,0,0,0,36,0,1GKEK13T35J2,23,421,2005,5,0
36,91,2,3,5315,0,15,0,0,0,36,0,1GKEK13T35J2,23,421,2005,5,0
36,92,1,1,4170,0,14,0,0,0,36,0,1C4RJFAG5DC6,2,404,2013,5,0
36,93,1,1,750,0,6,0,0,0,36,0,2A8GF68X97R3,6,54,2007,5,0
36,93,1,2,750,0,6,0,0,0,36,0,2A8GF68X97R3,6,54,2007,5,0
36,93,1,3,750,0,6,0,0,0,36,0,2A8GF68X97R3,6,54,2007,5,0
36,93,1,4,750,0,6,0,0,0,36,0,2A8GF68X97R3,6,54,2007,5,0
36,93,1,5,750,0,6,0,0,0,36,0,2A8GF68X97R3,6,54,2007,5,0
36,94,1,1,770,0,4,0,0,0,36,0,2G1WC5813693,20,2,2006,4,0
36,94,1,2,770,0,4,0,0,0,36,0,2G1WC5813693,20,2,2006,4,0
36,94,1,3,770,0,4,0,0,0,36,0,2G1WC5813693,20,2,2006,4,0
36,94,2,1,770,0,4,0,0,0,36,0,KMHCG45C95U5,55,36,2005,5,0
36,94,3,1,770,0,4,0,0,0,36,0,1G1ZT61866F1,20,37,2006,5,0
36,94,3,2,770,0,4,0,0,0,36,0,1G1ZT61866F1,20,37,2006,5,0
36,95,1,1,2569,0,31,0,0,0,36,0,1D7KS28D87J6,7,482,2007,5,0
36,96,1,1,2966,0,14,0,0,0,36,0,1J4GW48S94C2,2,404,2004,5,0
36,97,1,1,2011,0,31,0,0,0,36,0,3C63RRJLXEG1,7,482,2014,6,0
36,99,1,1,478,0,6,0,0,0,36,0,3A4FY58B96T2,6,52,2006,6,0
36,99,1,2,478,0,6,0,0,0,36,0,3A4FY58B96T2,6,52,2006,6,0
36,101,1,1,5066,0,80,0,0,0,36,0,JKBZXJE18DA0,73,705,2013,5,0
36,102,1,1,4090,0,4,0,0,0,36,0,JTDKDTB39E10,49,46,2014,5,0
36,104,1,1,6626,0,4,0,0,0,36,0,JH4CU26659C0,54,39,2009,5,0
36,105,1,1,4170,0,4,0,0,0,36,0,4T1BK1EBXDU0,49,43,2013,5,0
36,106,1,1,4170,0,3,0,0,0,36,0,WMWRE33556TN,69,54,2006,5,0
36,107,1,1,2160,0,4,0,0,0,36,0,3LN6L2JK0DR8,13,13,2013,5,0
36,107,1,2,2160,0,4,0,0,0,36,0,3LN6L2JK0DR8,13,13,2013,5,0
36,108,1,1,1173,0,31,0,0,0,36,0,2GTEK19T4412,23,481,2004,9,0
36,109,1,1,2920,0,4,0,0,0,36,0,JNKCP11A5YT3,58,33,2000,5,0
36,110,1,1,5230,0,14,0,0,0,36,0,JTEBU5JR9F52,49,401,2015,5,0
36,111,1,1,4170,0,4,0,0,0,36,0,1G4PR5SK6F41,18,25,2015,5,0
36,112,1,1,4170,0,21,0,0,0,36,0,1FTSS34LX2HB,12,461,2002,5,0
36,113,1,1,2600,0,4,0,0,0,36,0,JT2BG12K1T04,49,40,1996,5,0
36,113,2,1,2600,0,15,0,0,0,36,0,5GAKVBKD4EJ2,18,421,2014,5,0
36,114,1,1,4170,1,63,4,3,999999999,36,2,1M2K191C7WM0,86,882,1998,5,0
36,114,1,2,4170,1,63,4,3,999999999,36,2,1M2K191C7WM0,86,882,1998,5,0
36,115,1,1,3082,1,62,3,2,2511397,36,1,5PVNJ8JT4G4S,98,806,2016,5,0
36,116,1,1,3140,1,20,0,0,0,36,0,2D4GP44L76R8,7,442,2006,5,0
